Area,Normalized_Area,Treatment,Assay,Strain,Strain_ordered,Genomic_Background
28951,1.339703841,pMP,1,DAB895,L,P. syringae DAB462
25876,1.197408607,pMP,1,DAB895,L,P. syringae DAB462
22183,1.205466797,pMP,2,DAB895,L,P. syringae DAB462
20222,1.098902293,pMP,2,DAB895,L,P. syringae DAB462
20360,1.106401478,pMP,2,DAB895,L,P. syringae DAB462
14963,0.813118139,pMP,2,DAB895,L,P. syringae DAB462
17676,0.960547767,pMP,2,DAB895,L,P. syringae DAB462
24052,0.971405493,pMP,3,DAB895,L,P. syringae DAB462
23501,0.949151858,pMP,3,DAB895,L,P. syringae DAB462
27192,1.09822294,pMP,3,DAB895,L,P. syringae DAB462
31594,1.276009693,pMP,3,DAB895,L,P. syringae DAB462
27308,1.102907916,pMP,3,DAB895,L,P. syringae DAB462
34969,1.412318255,pMP,3,DAB895,L,P. syringae DAB462
26734,1.079725363,pMP,3,DAB895,L,P. syringae DAB462
24470,0.988287561,pMP,3,DAB895,L,P. syringae DAB462
24328,0.982552504,pMP,3,DAB895,L,P. syringae DAB462
27032,1.091760905,pMP,3,DAB895,L,P. syringae DAB462
25600,1.033925687,pMP,3,DAB895,L,P. syringae DAB462
26160,1.056542811,pMP,3,DAB895,L,P. syringae DAB462
21128,1.138607459,pMP,4,DAB895,L,P. syringae DAB462
22429,1.208719552,pMP,4,DAB895,L,P. syringae DAB462
19744,1.064022419,pMP,4,DAB895,L,P. syringae DAB462
22842,1.230976504,pMP,4,DAB895,L,P. syringae DAB462
22436,1.209096788,pMP,4,DAB895,L,P. syringae DAB462
27768,1.496443199,pMP,4,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
20216,1.155662265,pMP,5,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
17671,1.010175499,pMP,5,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
18038,1.031155319,pMP,5,DAB895,L,P. syringae DAB462
